Seed,Prop. class 1,Sel. bias,Method,Test set,pr,AUPRC,p.50,p.100,Bias effect
4,0.05,0.0,Label_Propagation,future,0.0,0.21621606924545708,0.26,0.38,1.4052225794134214
4,0.05,0.5,Self_Learning,future,0.0,0.2944610336691139,0.46,0.47,0.7091880405138461
38,0.05,0.0,Semi-supervised,future,0.3867924528301887,0.21912621399059334,0.38,0.4,1.1305995819571157
43,0.5,0.0,Semi-supervised,future,0.9419354838709677,0.7363093301146308,0.96,0.93,1.401022204948109
40,0.5,0.5,sample,,,,,,1.541157662132455
33,0.5,0.0,Label_spreading,future,0.7405963749756382,0.8311836300597323,1.0,1.0,2.1682054802794086
31,0.5,0.95,Label_spreading,future,0.5,0.767162703062059,0.96,0.97,2.2621691789268823
8,0.05,0.5,sample,,,,,,0.4229546594503221
34,0.5,0.95,Veenman,future,0.8119325551232166,0.6550606920690218,0.94,0.94,1.968658685877203
8,0.05,0.95,sample,,,,,,0.03871678892458565
24,0.05,0.95,Label_spreading,future,0.05,0.4045674166687167,0.7,0.64,1.2139743405161405
40,0.5,0.0,sample,,,,,,0.33685336732839094
35,0.05,0.0,traditional,future,0.2222222222222222,0.21834408344861422,0.32,0.33,1.2613997772540064
36,0.5,0.0,Veenman,future,0.0,0.6977504315112674,0.88,0.87,1.00907065795244
2,0.05,0.0,Self_Learning,future,0.6,0.24694642173259243,0.56,0.44,1.0916992161098047
17,0.5,0.5,sample,,,,,,1.5598029163098786
14,0.5,0.0,Semi-supervised,future,0.8357870894677236,0.7617946215300945,0.94,0.96,1.6713151169026372
35,0.5,0.0,Self_Learning,future,0.7074122236671001,0.7967694545634245,1.0,0.99,1.6483557932338357
25,0.5,0.0,Label_Propagation,future,0.5,0.7947360398975171,0.98,0.99,2.2551496210613284
1,0.05,0.0,Veenman,future,0.0,0.19315863315908235,0.48,0.4,1.141653957048451
24,0.05,0.5,Semi-supervised,future,0.47692307692307695,0.2646550106963348,0.46,0.47,1.053608891435212
1,0.5,0.95,Self_Learning,future,0.6549951028403526,0.693858139785138,0.88,0.88,1.6808596539534337
26,0.05,0.95,Self_Learning,future,0.08233532934131736,0.34208153795631413,0.6,0.52,0.882200812129005
7,0.5,0.0,Self_Learning,future,0.745048988951428,0.8090382040511291,0.98,0.98,1.8965724983410481
31,0.05,0.5,Label_Propagation,future,0.05002000800320128,0.36608013596975253,0.72,0.63,1.2059178555971173
4,0.5,0.95,Label_Propagation,future,0.5,0.745249678357787,0.96,0.94,2.2575734517902584
17,0.5,0.0,sample,,,,,,0.21982991949874733
24,0.05,0.5,Self_Learning,future,0.23132969034608378,0.2668611059397834,0.44,0.5,0.898092513507062
4,0.05,0.0,Label_spreading,future,0.0,0.18579062496096146,0.28,0.22,1.2829366217737306
30,0.05,0.5,Label_Propagation,future,0.12946556158902545,0.3844902748435961,0.64,0.62,1.1933631350219598
5,0.5,0.95,Label_Propagation,future,0.5002,0.7409103495023207,0.98,0.96,2.26270748432545
16,0.5,0.0,sample,,,,,,0.25369038676834615
25,0.05,0.5,Self_Learning,future,0.09824223452925596,0.18515387502209785,0.3,0.3,1.179229471619819
5,0.05,0.0,Label_spreading,future,0.0,0.2461076284547461,0.52,0.46,1.7852807852987624
16,0.5,0.5,sample,,,,,,1.5271399697803851
15,0.5,0.0,Semi-supervised,future,0.9005799502899752,0.7959420725593933,1.0,0.99,1.6196329433194179
34,0.5,0.0,Self_Learning,future,0.7157873859579532,0.791324205790594,1.0,1.0,1.6834214993997243
25,0.05,0.5,Semi-supervised,future,0.2256857855361596,0.19669231494116043,0.32,0.29,1.1833455779534434
0,0.5,0.95,Self_Learning,future,0.6296436694465504,0.6875017246369286,0.96,0.86,1.6993598786291266
27,0.05,0.95,Self_Learning,future,0.0718694885361552,0.33858822809768,0.68,0.63,0.9746046141424759
0,0.05,0.0,Veenman,future,0.0,0.15322997210161945,0.18,0.22,1.2238617301880197
24,0.5,0.0,Label_Propagation,future,0.6425764192139738,0.6504357895731312,0.74,0.69,0.6821462017351875
6,0.5,0.0,Self_Learning,future,0.6249354672173464,0.6421801963789823,0.88,0.89,1.7358401208037852
41,0.5,0.0,sample,,,,,,0.1832039331875024
34,0.05,0.0,traditional,future,0.5555555555555556,0.24917845306826142,0.54,0.49,1.1539046209916073
3,0.05,0.0,Self_Learning,future,0.2112676056338028,0.1989789602274494,0.44,0.37,1.0287316394151398
42,0.5,0.0,Semi-supervised,future,0.8994708994708994,0.7370552971287645,0.94,0.88,1.3504667528415657
39,0.05,0.0,Semi-supervised,future,0.5538461538461539,0.2432069258723377,0.56,0.51,1.273188745932704
41,0.5,0.5,sample,,,,,,1.5817958523757227
32,0.5,0.0,Label_spreading,future,0.7051399304920432,0.8073134126748148,0.98,0.98,1.8000267131950685
30,0.5,0.95,Label_spreading,future,0.5,0.7622561453843529,0.96,0.95,2.272983228543381
9,0.05,0.5,sample,,,,,,0.46862145703176944
35,0.5,0.95,Veenman,future,0.8209718670076727,0.652032286878881,0.92,0.91,1.9216580115812927
9,0.05,0.95,sample,,,,,,0.037577961442923496
25,0.05,0.95,Label_spreading,future,0.05,0.29934547306756004,0.64,0.51,1.63161686006476
